text,aspect_term,polarity,gold,bert_pred,baseline_pred,bert_correct,category,human_judgment,error_type,notes
It also comes with 4G of RAM but if you're like me you want to max that out so I immediately put 8G of RAM in her and I've never used a computer that performs better.,8G of RAM,neutral,neutral,neutral,neutral,True,CORRECT,Agree,correct,
The reason why I choose apple MacBook because of their design and the aluminum casing.,design,positive,positive,positive,positive,True,CORRECT,Agree,correct,
It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the system a bit.,construction,positive,positive,positive,neutral,True,CORRECT,Agree,correct,
"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming.",gaming,neutral,neutral,neutral,positive,True,CORRECT,Agree,correct,
"It looks and feels solid, with a flawless finish.",looks,positive,positive,positive,positive,True,CORRECT,Agree,correct,
"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.",pad,negative,negative,negative,neutral,True,CORRECT,Agree,correct,
Easy to customize setting and even create your own bookmarks.,customize setting,positive,positive,positive,positive,True,CORRECT,Agree,correct,
I have had it over a year now with out a Glitch of any kind..I love the lit up keys and screen display...this thing is Fast and clear as can be.,lit up keys,positive,positive,positive,positive,True,CORRECT,Agree,correct,
"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",Radeon HD 6750M 512MB graphic card,neutral,neutral,neutral,neutral,True,CORRECT,Agree,correct,
"Works well, and I am extremely happy to be back to an apple OS.",apple OS,positive,positive,positive,positive,True,CORRECT,Agree,correct,
"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.","third-generation CPU (""Ivy Bridge"")",neutral,neutral,negative,negative,False,INCORRECT,Disagree,implicit_sentiment,
I was given a demonstration of Windows 8.,Windows 8,neutral,neutral,positive,neutral,False,INCORRECT,Disagree,implicit_sentiment,
It's ok but doesn't have a disk drive which I didn't know until after I bought it.,disk drive,neutral,neutral,negative,negative,False,INCORRECT,Disagree,implicit_sentiment,
"this Mac Mini does not have a built-in mic, and it would seem that its Mac OS 10.9 does not handle external microphones properly.",external microphones,neutral,neutral,negative,negative,False,INCORRECT,Disagree,implicit_sentiment,
"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem.",storage,neutral,neutral,positive,positive,False,INCORRECT,Disagree,implicit_sentiment,
HOWEVER I chose two day shipping and it took over a week to arrive.,shipping,negative,negative,neutral,neutral,False,INCORRECT,Disagree,implicit_sentiment,
Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,right click button,neutral,neutral,positive,neutral,False,INCORRECT,Disagree,implicit_sentiment,
"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",internet,positive,positive,neutral,neutral,False,INCORRECT,Disagree,implicit_sentiment,
With the softwares supporting the use of other OS makes it much better.,softwares,neutral,neutral,positive,positive,False,INCORRECT,Disagree,implicit_sentiment,
"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.",fourth-generation Haswell CPU,neutral,neutral,negative,negative,False,INCORRECT,Disagree,implicit_sentiment,
"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.","third-generation CPU (""Ivy Bridge"")",neutral,neutral,negative,negative,False,BORDERLINE,Disagree,implicit_sentiment,
I was given a demonstration of Windows 8.,Windows 8,neutral,neutral,positive,neutral,False,BORDERLINE,Disagree,implicit_sentiment,
It's ok but doesn't have a disk drive which I didn't know until after I bought it.,disk drive,neutral,neutral,negative,negative,False,BORDERLINE,Disagree,implicit_sentiment,
"this Mac Mini does not have a built-in mic, and it would seem that its Mac OS 10.9 does not handle external microphones properly.",external microphones,neutral,neutral,negative,negative,False,BORDERLINE,Disagree,implicit_sentiment,
"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem.",storage,neutral,neutral,positive,positive,False,BORDERLINE,Disagree,implicit_sentiment,
HOWEVER I chose two day shipping and it took over a week to arrive.,shipping,negative,negative,neutral,neutral,False,BORDERLINE,Disagree,implicit_sentiment,
Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,right click button,neutral,neutral,positive,neutral,False,BORDERLINE,Disagree,implicit_sentiment,
"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",internet,positive,positive,neutral,neutral,False,BORDERLINE,Disagree,implicit_sentiment,
With the softwares supporting the use of other OS makes it much better.,softwares,neutral,neutral,positive,positive,False,BORDERLINE,Disagree,implicit_sentiment,
"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.",fourth-generation Haswell CPU,neutral,neutral,negative,negative,False,BORDERLINE,Disagree,implicit_sentiment,
